ἀμφιβάλλω|ἀμφί+βάλλω
ἀναβαίνω|ἀνά+βαίνω
ἀναβάλλομαι|ἀνά+βάλλομαι
ἀναβιβάζω|ἀνά+βιβάζω
ἀναβλέπω|ἀνά+βλέπω
ἀναβοάω|ἀνά+βοάω
ἀναγγέλλω|ἀνά+ἀγγέλλω
ἀναγεννάω|ἀνά+γεννάω
ἀναγινώσκω|ἀνά+γινώσκω
ἀναγνωρίζομαι|ἀνά+γνωρίζομαι
ἀνάγω|ἀνά+ἄγω
ἀναδείκνυμι|ἀνά+δείκνυμι
ἀναδέχομαι|ἀνά+δέχομαι
ἀναδίδωμι|ἀνά+δίδωμι
ἀναζάω|ἀνά+ζάω
ἀναζητέω|ἀνά+ζητέω
ἀναζώννυμι|ἀνά+ζώννυμι
ἀναζωπυρέω|ἀνά+ζωπυρέω
ἀναθάλλω|ἀνά+θάλλω
ἀναθεματίζω|ἀνά+θεματίζω
ἀναθεωρέω|ἀνά+θεωρέω
ἀναιρέω|ἀνά+αἱρέω
ἀνακαθίζω|ἀνά+κατά+ἵζω
ἀνακαινίζω|ἀνά+καινίζω
ἀνακαινόω|ἀνά+καινόω
ἀνακαλύπτω|ἀνά+καλύτω
ἀνακάμπτω|ἀνά+κάμπτω
ἀνάκειμαι|ἀνά+κεῖμαι
ἀνακεφαλαιόω|ἀνά+κεφάλαιον
ἀνακλίνω|ἀνά+κλίνω
ἀνακράζω|ἀνά+κράζω
ἀνακρίνω|ἀνά+κρίνω
ἀνακύπτω|ἀνά+κύπτω
ἀναλαμβάνω|ἀνά+λαμβάνω
ἀναλίσκω|ἀνά+ἁλίσκω
ἀναλογίζομαι|ἀνά+λογίζομαι
ἀναλύω|ἀνά+λύω
ἀναμένω|ἀνά+μένω
ἀναμιμνῄσκω|ἀνά+μιμνῄσκω
ἀνανεόω|ἀνά+νεόω
ἀνανήφω|ἀνά+νήφω
ἀναπαύω|ἀνά+παύω
ἀναπείθω|ἀνά+πείθω
ἀναπέμπω|ἀνά+πέμπω
ἀναπηδάω|ἀνά+πηδάω
ἀναπίπτω|ἀνά+πέμπω
ἀναπληρόω|ἀνά+πληρόω
ἀναπτύσσω|ἀνά+πτύσσω
ἀνάπτω|ἀνά+ἄπτω
ἀνασείω|ἀνά+σείω
ἀνασκευάζω|ἀνά+σκευάζω
ἀνασπάω|ἀνά+σπάω
ἀναστατόω|ἀνά+στατόω
ἀνασταυρόω|ἀνά+σταυρόω
ἀναστενάζω|ἀνά+στενάζω
ἀναστρέφω|ἀνά+στρέφω
ἀνατάσσομαι|ἀνά+τάσσομαι
ἀνατέλλω|ἀνά+τέλλω
ἀνατίθεμαι|ἀνά+τίθεμαι
ἀνατρέπω|ἀνά+τρέπω
ἀνατρέφω|ἀνά+τρέφω
ἀναφαίνω|ἀνά+φαίνω
ἀναφέρω|ἀνά+φέρω
ἀναφωνέω|ἀνά+φωνέω
ἀναχωρέω|ἀνά+χωρέω
ἀναψύχω|ἀνά+ψύχω
ἀνέρχομαι|ἀνά+ἔρχομαι
ἀνετάζω|ἀνά+ἐτάζω
ἀνευρίσκω|ἀνά+εὑρίσκω
ἀνέχομαι|ἀνά+ἔχομαι
ἀνήκω|ἀνά+ἥκω
ἀνίημι|ἀνά+ἵημι
ἀνίστημι|ἀνά+ἵστημι
ἀνοίγω|ἀνά+οἴγω
ἀνοικοδομέω|ἀνά+οἰκοδομέω
ἀνορθόω|ἀνά+ὀρθόω
ἀνθίστημι|ἀντί+ἵστημι
ἀνθομολογέομαι|ἀντί+ὁμολογέω
ἀνταγωνίζομαι|ἀντί+ἀγωνίζομαι
ἀνταναπληρόω|ἀντί+ἀνά+πληρόω
ἀνταποδίδωμι|ἀντί+ἀπό+δίδωμι
ἀνταποκρίνομαι|ἀντί+ἀπό+κρίνομαι
ἀντέχομαι|ἀντί+ἔχομαι
ἀντιβάλλω|ἀντί+βάλλω
ἀντιδιατίθεμαι|ἀντί+διά+τίθεμαι
ἀντικαθίστημι|ἀντί+κατά+ἵστημι
ἀντικαλέω|ἀντί+καλέω
ἀντίκειμαι|ἀντί+κεῖμαι
ἀντιλαμβάνομαι|ἀντί+λαμβάνομαι
ἀντιλέγω|ἀντί+λέγω
ἀντιλοιδορέω|ἀντί+λοιδορέω
ἀντιμετρέω|ἀντί+μετρέω
ἀντιπαρέρχομαι|ἀντί+παρά+ἔρχομαι
ἀντιπίπτω|ἀντί+πίπτω
ἀντιστρατεύομαι|ἀντί+στρατεύομαι
ἀντιτάσσομαι|ἀντί+τάσσομαι
ἀντοφθαλμέω|ἀντί+ὀφθαλμός
ἀπαγγέλλω|ἀπό+ἀγγέλλω
ἀπάγχομαι|ἀπό+ἄγχομαι
ἀπάγω|ἀπό+ἄγω
ἀπαίρω|ἀπό+αἴρω
ἀπαιτέω|ἀπό+αἰτέω
ἀπαλγέω|ἀπό+ἀλγέω
ἀπαλλάσσω|ἀπό+ἀλλάσσω
ἀπαλλοτριόομαι|ἀπό+ἀλλοτριόομαι
ἀπαντάω|ἀπό+ἀντάω
ἀπεῖπον|ἀπό+εἶπον
ἀπεκδέχομαι|ἀπό+ἐκ+δέχομαι
ἀπεκδύομαι|ἀπό+ἐκ+δύω
ἀπελαύνω|ἀπό+ἐλαύνω
ἀπελπίζω|ἀπό+ἐλπίζω
ἀπέρχομαι|ἀπό+ἔρχομαι
ἀπέχω|ἀπό+ἔχω
ἀποβαίνω|ἀπό+βαίνω
ἀποβάλλω|ἀπό+βάλλω
ἀποβλέπω|ἀπό+βλέπω
ἀπογίνομαι|ἀπό+γίνομαι
ἀπογράφω|ἀπό+γράφω
ἀποδείκνυμι|ἀπό+δείκνυμι
ἀποδεκατόω|ἀπό+δεκατόω
ἀποδέχομαι|ἀπό+δέχομαι
ἀποδημέω|ἀπό+δημέω
ἀποδίδωμι|ἀπό+δίδωμι
ἀποδιορίζω|ἀπό+διορίζω
ἀποδοκιμάζω|ἀπό+δοκιμάζω
ἀποθησαυρίζω|ἀπό+θησαυρίζω
ἀποθλίβω|ἀπό+θλίβω
ἀποθνῄσκω|ἀπό+θνῄσκω
ἀποκαθίστημι|ἀπό+κατά+ἵστημι
ἀποκαλύπτω|ἀπό+καλύπτω
ἀποκαταλλάσσω|ἀπό+κατά+ἀλλάσσω
ἀπόκειμαι|ἀπό+κεῖμαι
ἀποκεφαλίζω|ἀπό+κεφαλίζω
ἀποκλείω|ἀπό+κλείω
ἀποκόπτω|ἀπό+κόπτω
ἀποκρίνομαι|ἀπό+κρίνομαι
ἀποκρύπτω|ἀπό+κρύπτω
ἀποκτείνω|ἀπό+κτείνω
ἀποκυλίω|ἀπό+κυλίω
ἀπολαμβάνω|ἀπό+λαμβάνω
ἀπολείπω|ἀπό+λείπω
ἀπόλλυμι|ἀπό+ὄλλυμι
ἀπολογέομαι|ἀπό+λόγος
ἀπολούομαι|ἀπό+λούομαι
ἀπολύω|ἀπό+λύω
ἀπομάσσομαι|ἀπό+μάσσομαι
ἀπονέμω|ἀπό+νέμω
ἀπονίπτω|ἀπό+νίπτω
ἀποπίπτω|ἀπό+πίπτω
ἀποπλανάω|ἀπό+πλανάω
ἀποπλέω|ἀπό+πλέω
ἀποπνίγω|ἀπό+πνίγω
ἀπορίπτω|ἀπό+ῥίπτω
ἀπορφανίζω|ἀπό+ὀρφανός
ἀποσπάω|ἀπό+σπάω
ἀποστεγάζω|ἀπό+στεγάζω
ἀποστέλλω|ἀπό+στέλλω
